parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
11,4343.3,2.3464361826578775,2.9688278834025064,3.205676873524984,15.683730443318685,2,client,rf2_s1__,11,0.0010061264038085938--0.0015001296997070312--0.0016777515411376953--0.0018968582153320312--0.0020432472229003906--0.00212860107421875--0.0022344589233398438--0.002328157424926758--0.0024271011352539062--0.0024962425231933594--0.002563953399658203--0.0026178359985351562--0.0026934146881103516--0.002760648727416992--0.00283050537109375--0.0029146671295166016--0.0029990673065185547--0.0031042098999023438--0.003248453140258789--0.0034732818603515625
1,265.0,2.2084712982177734,2.683281898498535,2.744317054748535,3.65293025970459,2,client,rf2_s1__,11,0.0016918182373046875--0.00267791748046875--0.0027692317962646484--0.0028676986694335938--0.0029807090759277344--0.003092050552368164--0.003276348114013672--0.0036346912384033203--0.0038115978240966797--0.004137277603149414--0.004416942596435547--0.004513978958129883--0.004582643508911133--0.004693031311035156--0.004750251770019531--0.004830360412597656--0.0049936771392822266--0.005200386047363281--0.00536656379699707--0.00548863410949707
21,8944.3,2.1031769839200107,2.8476281599564985,3.1878623095425693,21.072799509221856,2,client,rf2_s1__,11,0.0008766651153564453--0.0013201236724853516--0.001483917236328125--0.0016551017761230469--0.0017490386962890625--0.0018389225006103516--0.0019135475158691406--0.001999378204345703--0.0020706653594970703--0.0021359920501708984--0.002204418182373047--0.002270221710205078--0.0023393630981445312--0.0024149417877197266--0.002490997314453125--0.002563953399658203--0.0026471614837646484--0.002777099609375--0.002960205078125--0.003281116485595703
31,10440.1,2.6396140456199646,3.7991702556610107,5.5708736181259155,40.312185883522034,2,client,rf2_s1__,11,0.0009109973907470703--0.0015163421630859375--0.0017561912536621094--0.001932382583618164--0.0020627975463867188--0.002185344696044922--0.00231170654296875--0.002429485321044922--0.0025289058685302734--0.002624988555908203--0.0027332305908203125--0.0028460025787353516--0.0029456615447998047--0.0030574798583984375--0.003165006637573242--0.003270864486694336--0.0034246444702148438--0.003615856170654297--0.0038766860961914062--0.004398822784423828
41,10538.4,3.4347602299281528,5.278695197332473,6.939303307306199,38.34441162291027,2,client,rf2_s1__,11,0.000759124755859375--0.0016829967498779297--0.0019447803497314453--0.002194643020629883--0.0024497509002685547--0.0026712417602539062--0.0028581619262695312--0.0030198097229003906--0.003202676773071289--0.003343820571899414--0.0035305023193359375--0.003698587417602539--0.0038650035858154297--0.0040302276611328125--0.004201412200927734--0.00442051887512207--0.0046575069427490234--0.004966259002685547--0.005368232727050781--0.006089210510253906
51,11859.0,3.7424977009113016,6.294181713691125,8.097359767326942,46.08623798076923,2,client,rf2_s1__,11,0.0007977485656738281--0.0016741752624511719--0.0019609928131103516--0.0022363662719726562--0.002496004104614258--0.0027582645416259766--0.0029637813568115234--0.0031785964965820312--0.0033915042877197266--0.0035986900329589844--0.0037953853607177734--0.003997325897216797--0.004204273223876953--0.0044269561767578125--0.004667043685913086--0.004949331283569336--0.00526738166809082--0.005734443664550781--0.006327629089355469--0.0074350833892822266
61,12561.5,3.879027981911936,8.353556356122416,12.798728481415779,46.256634496873424,2,client,rf2_s1__,11,0.000812530517578125--0.001718759536743164--0.002016782760620117--0.002279520034790039--0.002507925033569336--0.0027408599853515625--0.002966165542602539--0.003174304962158203--0.003420114517211914--0.0036618709564208984--0.003921031951904297--0.004218101501464844--0.004500865936279297--0.004830598831176758--0.0052416324615478516--0.005718231201171875--0.006315946578979492--0.007121086120605469--0.008333206176757812--0.010961532592773438
71,12808.1,3.977500730090671,10.78896721204122,18.70150367418925,55.26739027765062,2,client,rf2_s1__,11,0.0007798671722412109--0.001775503158569336--0.002064943313598633--0.0022995471954345703--0.002534151077270508--0.0027441978454589844--0.0029649734497070312--0.003187417984008789--0.003436565399169922--0.0036973953247070312--0.003981590270996094--0.004288434982299805--0.0046710968017578125--0.005146503448486328--0.005697965621948242--0.006470680236816406--0.0074307918548583984--0.008627653121948242--0.010465145111083984--0.014646053314208984
81,13283.7,3.999768233880764,12.46422093089034,20.273202803076767,60.72185388425501,2,client,rf2_s1__,11,0.0008952617645263672--0.001794576644897461--0.0021278858184814453--0.0023436546325683594--0.0025548934936523438--0.0027701854705810547--0.0029883384704589844--0.003204822540283203--0.0034499168395996094--0.0037240982055664062--0.004029512405395508--0.004368782043457031--0.004797220230102539--0.005324125289916992--0.00608372688293457--0.007102489471435547--0.008390426635742188--0.01007223129272461--0.012190818786621094--0.017325878143310547
91,13760.3,4.0066371793332305,14.56038589062898,24.534969226173732,56.89944650815881,2,client,rf2_s1__,11,0.0008015632629394531--0.0018634796142578125--0.0021750926971435547--0.0023882389068603516--0.0026040077209472656--0.002786397933959961--0.002989053726196289--0.0031981468200683594--0.003435850143432617--0.003698587417602539--0.0040247440338134766--0.0043942928314208984--0.0048792362213134766--0.005604982376098633--0.0065517425537109375--0.007899761199951172--0.009393453598022461--0.011469125747680664--0.014426469802856445--0.021121740341186523
