parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
1,1189.6,0.42426586151123047,0.6712675094604492,0.7344484329223633,0.8836984634399414,2,roundrobin,rf2_s1__,11,0.0005815029144287109--0.000637054443359375--0.0006663799285888672--0.0006763935089111328--0.0006890296936035156--0.0007157325744628906--0.0007410049438476562--0.0007796287536621094--0.0008070468902587891--0.0008244514465332031--0.0008485317230224609--0.0008790493011474609--0.0008995532989501953--0.0009195804595947266--0.0010001659393310547--0.0011394023895263672--0.0012199878692626953--0.0012733936309814453--0.0013425350189208984--0.0014688968658447266
1,1189.6,0.42426586151123047,0.6712675094604492,0.7344484329223633,0.8836984634399414,2,roundrobin,rf2_s1__,11,0.0005815029144287109--0.000637054443359375--0.0006663799285888672--0.0006763935089111328--0.0006890296936035156--0.0007157325744628906--0.0007410049438476562--0.0007796287536621094--0.0008070468902587891--0.0008244514465332031--0.0008485317230224609--0.0008790493011474609--0.0008995532989501953--0.0009195804595947266--0.0010001659393310547--0.0011394023895263672--0.0012199878692626953--0.0012733936309814453--0.0013425350189208984--0.0014688968658447266
1,1191.6,0.4112720489501953,0.6606578826904297,0.7007122039794922,0.8258819580078125,2,roundrobin,rf2_s1__,11,0.0005488395690917969--0.0006282329559326172--0.0006587505340576172--0.0006816387176513672--0.0006897449493408203--0.0007038116455078125--0.0007224082946777344--0.0007488727569580078--0.0007662773132324219--0.0008037090301513672--0.0008225440979003906--0.0008361339569091797--0.0008804798126220703--0.0008955001831054688--0.0009438991546630859--0.0009937286376953125--0.0010993480682373047--0.0011944770812988281--0.0013213157653808594--0.0014014244079589844
1,1171.4,0.4105567932128906,0.6346702575683594,0.727534294128418,0.9167194366455078,2,roundrobin,rf2_s1__,11,0.0006089210510253906--0.0006489753723144531--0.0006659030914306641--0.0006940364837646484--0.0007069110870361328--0.0007300376892089844--0.0007379055023193359--0.0007503032684326172--0.0007860660552978516--0.0008008480072021484--0.0008211135864257812--0.0008530616760253906--0.0008826255798339844--0.0009126663208007812--0.0009434223175048828--0.0009572505950927734--0.0010848045349121094--0.0012133121490478516--0.0012693405151367188--0.001455068588256836
3,2392.3,0.7807612419128418,1.5097260475158691,2.158224582672119,12.461960315704346,2,roundrobin,rf2_s1__,11,0.0005247592926025391--0.000621795654296875--0.0006766319274902344--0.0007166862487792969--0.0007665157318115234--0.0008020401000976562--0.0008335113525390625--0.0008687973022460938--0.0009200572967529297--0.0009641647338867188--0.0010027885437011719--0.001070261001586914--0.001127481460571289--0.0012159347534179688--0.0012695789337158203--0.0013499259948730469--0.001474618911743164--0.001621246337890625--0.0020275115966796875--0.0027692317962646484
3,3229.8,0.6244778633117676,1.0268092155456543,1.2260079383850098,6.990671157836914,2,roundrobin,rf2_s1__,11,0.0004730224609375--0.0005369186401367188--0.0005776882171630859--0.00063323974609375--0.0006585121154785156--0.0006926059722900391--0.0007097721099853516--0.0007371902465820312--0.00075531005859375--0.0007903575897216797--0.0008161067962646484--0.0008695125579833984--0.0008955001831054688--0.0009284019470214844--0.0009725093841552734--0.0010235309600830078--0.001125335693359375--0.001226663589477539--0.0013692378997802734--0.0016579627990722656
5,2629.7,1.0750293731689453,2.3168722788492837,3.8940906524658203,27.102549870808918,2,roundrobin,rf2_s1__,11,0.0005192756652832031--0.0007276535034179688--0.0007979869842529297--0.0008475780487060547--0.0009052753448486328--0.0009815692901611328--0.001039266586303711--0.00109100341796875--0.0011448860168457031--0.001188516616821289--0.00128173828125--0.001355886459350586--0.001416921615600586--0.0015261173248291016--0.0015933513641357422--0.0017409324645996094--0.001959562301635742--0.002135038375854492--0.0027811527252197266--0.00400090217590332
5,2441.5,1.0464986165364583,1.8005768458048503,2.258896827697754,35.40599346160889,2,roundrobin,rf2_s1__,11,0.0004894733428955078--0.0007791519165039062--0.000858306884765625--0.00090789794921875--0.0009562969207763672--0.0010099411010742188--0.001056671142578125--0.001096487045288086--0.0011432170867919922--0.0012097358703613281--0.0012478828430175781--0.0013282299041748047--0.0013842582702636719--0.0014455318450927734--0.0015516281127929688--0.00162506103515625--0.0017328262329101562--0.0018651485443115234--0.002101898193359375--0.002676248550415039
7,2115.8,1.5549659729003906,3.414839506149292,17.038047313690186,38.991570472717285,2,roundrobin,rf2_s1__,11,0.0006401538848876953--0.0009515285491943359--0.0010519027709960938--0.0011425018310546875--0.001226663589477539--0.0013041496276855469--0.0013737678527832031--0.0014672279357910156--0.001544952392578125--0.0016369819641113281--0.0017344951629638672--0.0018622875213623047--0.001990079879760742--0.002134561538696289--0.0022847652435302734--0.0025093555450439453--0.002741098403930664--0.0030858516693115234--0.0038216114044189453--0.0057947635650634766
7,2178.6,1.3772547245025635,2.5221705436706543,8.991420269012451,49.93927478790283,2,roundrobin,rf2_s1__,11,0.0005669593811035156--0.0009191036224365234--0.0009903907775878906--0.0010690689086914062--0.0011608600616455078--0.0012323856353759766--0.0012865066528320312--0.0013360977172851562--0.0013916492462158203--0.0014750957489013672--0.0015668869018554688--0.0016641616821289062--0.0017657279968261719--0.0018444061279296875--0.0019307136535644531--0.0020890235900878906--0.0022957324981689453--0.0025229454040527344--0.002794981002807617--0.0038611888885498047
