parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
16,10852.8,1.5374422073364300,2.168522940741650,2.3462242550320100,12.545320722791900,2,solrj,rf2_s1__,11,0.0006148815155029297--0.0008168220520019531--0.0008985996246337891--0.0009846687316894531--0.001065969467163086--0.0011496543884277344--0.0012302398681640625--0.0013325214385986328--0.0014388561248779297--0.0015287399291992188--0.0016071796417236328--0.0016880035400390625--0.001749277114868164--0.0018162727355957031--0.0019001960754394531--0.001973390579223633--0.0020673274993896484--0.0021555423736572266--0.002267599105834961--0.002489805221557617
32,22050.8,1.474436591653260,2.0789328743429700,2.2862097796271800,10.053389212664400,2,solrj,rf2_s1__,11,0.0005445480346679688--0.0007517337799072266--0.0008389949798583984--0.000926971435546875--0.0010006427764892578--0.001081705093383789--0.0011746883392333984--0.001276254653930664--0.001367330551147461--0.0014438629150390625--0.0015141963958740234--0.0015785694122314453--0.0016388893127441406--0.001699209213256836--0.0017540454864501953--0.0018224716186523438--0.001895904541015625--0.001982450485229492--0.0021295547485351562--0.002335071563720703
32,33765.1,0.9719413869521200,1.379069160012640,1.6401164671954000,5.940402255338780,2,solrj,rf2_s1__,11,0.0003924369812011719--0.0005559921264648438--0.0006504058837890625--0.0007615089416503906--0.0008158683776855469--0.0008578300476074219--0.0008902549743652344--0.0009171962738037109--0.0009434223175048828--0.0009725093841552734--0.0009987354278564453--0.001026153564453125--0.0010557174682617188--0.0010859966278076172--0.0011229515075683594--0.0011670589447021484--0.0012235641479492188--0.0012865066528320312--0.0013861656188964844--0.0016262531280517578
48,23441.5,1.9615745544433600,3.140716552734380,3.6162281036377000,24.90705966949460,2,solrj,rf2_s1__,11,0.0006182193756103516--0.0009167194366455078--0.0010559558868408203--0.0011892318725585938--0.0013229846954345703--0.0014467239379882812--0.0015692710876464844--0.0016739368438720703--0.0017824172973632812--0.0018935203552246094--0.0019989013671875--0.0020945072174072266--0.0021996498107910156--0.002310514450073242--0.002427816390991211--0.002557992935180664--0.002720355987548828--0.0029065608978271484--0.0031633377075195312--0.0036203861236572266
64,25018.9,2.4143565784801100,4.080844647956620,4.891854343992290,28.702360210996700,2,solrj,rf2_s1__,11,0.0005860328674316406--0.00104522705078125--0.0012311935424804688--0.0014123916625976562--0.0015766620635986328--0.0017287731170654297--0.0018830299377441406--0.002035856246948242--0.0021657943725585938--0.002310037612915039--0.0024454593658447266--0.0025768280029296875--0.0027196407318115234--0.0028650760650634766--0.003034353256225586--0.0032241344451904297--0.0034439563751220703--0.003719329833984375--0.004107475280761719--0.0048215389251708984
64,44608.7,1.339851003704650,2.598076155691440,3.3018119407422600,6.760261275551540,2,solrj,rf2_s1__,11,0.00040650367736816406--0.0007195472717285156--0.0008921623229980469--0.0009758472442626953--0.0010340213775634766--0.0010793209075927734--0.0011286735534667969--0.0011832714080810547--0.0012357234954833984--0.0012903213500976562--0.0013523101806640625--0.0014238357543945312--0.0015034675598144531--0.001592397689819336--0.0016858577728271484--0.00180816650390625--0.001974821090698242--0.002219676971435547--0.0025835037231445312--0.0032677650451660156
80,28485.8,2.4405078190129000,4.829017127432480,6.188189111104830,25.415100702425300,2,solrj,rf2_s1__,11,0.0006117820739746094--0.0011010169982910156--0.0013246536254882812--0.0014965534210205078--0.0016415119171142578--0.0017828941345214844--0.0019102096557617188--0.0020449161529541016--0.002190113067626953--0.0023262500762939453--0.002454996109008789--0.002595186233520508--0.00274658203125--0.002911806106567383--0.0031032562255859375--0.0033631324768066406--0.0037136077880859375--0.004114389419555664--0.004738807678222656--0.00600743293762207
96,28989.0,2.7331673369115700,5.953382472602690,8.619070053100590,35.62963008880620,2,solrj,rf2_s1__,11,0.0006415843963623047--0.0012311935424804688--0.00151824951171875--0.0017161369323730469--0.0018720626831054688--0.002027273178100586--0.0021872520446777344--0.002328157424926758--0.0024614334106445312--0.0026001930236816406--0.002739429473876953--0.002894878387451172--0.003053426742553711--0.0032384395599365234--0.003452301025390625--0.0037491321563720703--0.0041713714599609375--0.004805564880371094--0.005846738815307617--0.008044242858886719
96,48058.1,1.6917695804518100,3.813140246332910,5.502121789114820,12.901622421887500,2,solrj,rf2_s1__,11,0.00045871734619140625--0.0008900165557861328--0.0010385513305664062--0.0011281967163085938--0.0011985301971435547--0.0012743473052978516--0.0013456344604492188--0.0014235973358154297--0.0014984607696533203--0.001585245132446289--0.0016770362854003906--0.001783132553100586--0.001898050308227539--0.002033233642578125--0.0022039413452148438--0.00241851806640625--0.0026731491088867188--0.0030639171600341797--0.0037698745727539062--0.005339384078979492
112,29702.3,3.06005645216557,6.9613644951268200,10.511818685029700,36.77996417932340,2,solrj,rf2_s1__,11,0.0006997585296630859--0.00141143798828125--0.0017313957214355469--0.0019447803497314453--0.002127408981323242--0.002300739288330078--0.0024688243865966797--0.0026187896728515625--0.0027654170989990234--0.0029103755950927734--0.0030655860900878906--0.0032117366790771484--0.0033783912658691406--0.003578662872314453--0.003820657730102539--0.004135608673095703--0.0046176910400390625--0.0054035186767578125--0.006815195083618164--0.009610652923583984
