parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
112,14416.8,4.095608727973800,20.94829709906330,35.68634024837560,67.78707002338610,2,Elastic,rf2_s2__,22,0.0008985996246337891--0.0019359588623046875--0.002229452133178711--0.0024652481079101562--0.002678394317626953--0.0028769969940185547--0.0030677318572998047--0.003274679183959961--0.0034942626953125--0.003749370574951172--0.004042625427246094--0.004415035247802734--0.004926204681396484--0.005643367767333984--0.006864070892333984--0.00880575180053711--0.011258125305175781--0.014896392822265625--0.020168542861938477--0.03282618522644043
128,14568.7,4.38836904672476,26.22676262488730,42.96384774721590,76.48576039534350,2,Elastic,rf2_s2__,22,0.0009605884552001953--0.0019750595092773438--0.0022954940795898438--0.0025343894958496094--0.002756357192993164--0.0029811859130859375--0.0032012462615966797--0.003438234329223633--0.0036792755126953125--0.003965854644775391--0.004317760467529297--0.0047571659088134766--0.005339384078979492--0.006177663803100586--0.007598161697387695--0.01008749008178711--0.013117074966430664--0.017710208892822266--0.02508711814880371--0.0430140495300293
16,7854.0,1.9622908698187900,2.638684378729930,2.8971698549058700,16.181521945529500,2,Elastic,rf2_s2__,22,0.0007596015930175781--0.0012094974517822266--0.001413106918334961--0.0015435218811035156--0.0016398429870605469--0.0017256736755371094--0.0018019676208496094--0.0018775463104248047--0.001935720443725586--0.002000093460083008--0.0020771026611328125--0.0021419525146484375--0.002207517623901367--0.002293109893798828--0.0023508071899414062--0.002433300018310547--0.002516031265258789--0.002626657485961914--0.0027730464935302734--0.0030050277709960938
32,10311.4,2.814811818739950,4.217281061060290,4.871831220739030,39.99898714177750,2,Elastic,rf2_s2__,22,0.0008156299591064453--0.0015168190002441406--0.001766204833984375--0.0019266605377197266--0.0020825862884521484--0.002257108688354492--0.0024051666259765625--0.002527475357055664--0.0026547908782958984--0.0027894973754882812--0.002919912338256836--0.0030422210693359375--0.003171205520629883--0.0032918453216552734--0.0034372806549072266--0.003610849380493164--0.0037920475006103516--0.00401616096496582--0.004342794418334961--0.004929304122924805
48,11513.1,3.660430908203130,6.262383460998540,10.346002578735400,41.931514739990200,2,Elastic,rf2_s2__,22,0.0007908344268798828--0.0016741752624511719--0.001979827880859375--0.0022661685943603516--0.0024900436401367188--0.0027360916137695312--0.002947568893432617--0.0031549930572509766--0.0033452510833740234--0.003542184829711914--0.0037343502044677734--0.003928422927856445--0.004141807556152344--0.004377603530883789--0.0045986175537109375--0.004892587661743164--0.005210161209106445--0.0056416988372802734--0.006314754486083984--0.0074465274810791016
64,12839.7,3.7740071614583300,9.129610928622160,13.476006912462600,49.857887354764100,2,Elastic,rf2_s2__,22,0.0007984638214111328--0.0016989707946777344--0.0019636154174804688--0.002194643020629883--0.002398252487182617--0.0026559829711914062--0.00286865234375--0.0030999183654785156--0.0033066272735595703--0.003572702407836914--0.003830432891845703--0.0041005611419677734--0.0043904781341552734--0.004758119583129883--0.005221366882324219--0.0057981014251708984--0.006590604782104492--0.007616519927978516--0.009118795394897461--0.01212310791015625
80,13318.4,4.003109001531830,12.830961041334200,21.46711000582070,55.65839569743090,2,Elastic,rf2_s2__,22,0.0008137226104736328--0.0018112659454345703--0.002107858657836914--0.0023267269134521484--0.0025391578674316406--0.002753734588623047--0.0029761791229248047--0.003210783004760742--0.0034627914428710938--0.003702878952026367--0.004018068313598633--0.004362583160400391--0.004840373992919922--0.0054590702056884766--0.006290912628173828--0.00727081298828125--0.00853872299194336--0.010349273681640625--0.012775421142578125--0.017922401428222656
96,14155.8,3.95325738556531,16.426057231669500,28.217690331595300,59.7406479777122,2,Elastic,rf2_s2__,22,0.0007851123809814453--0.001813650131225586--0.002131938934326172--0.0023581981658935547--0.002554655075073242--0.0027472972869873047--0.0029397010803222656--0.0031418800354003906--0.0033655166625976562--0.0036301612854003906--0.003943443298339844--0.004301548004150391--0.0047643184661865234--0.005405426025390625--0.006423473358154297--0.0077648162841796875--0.009631872177124023--0.012020587921142578--0.01587533950805664--0.02432560920715332
128,8619.3,14.833402633667000,27.73436032808740,32.20213743356560,73.50305043734040,2,solrj,rf2_s2__,21,0.0014286041259765625--0.0038537979125976562--0.0054798126220703125--0.006838083267211914--0.007999420166015625--0.00923919677734375--0.010341167449951172--0.011498689651489258--0.012660503387451172--0.013738870620727539--0.014829397201538086--0.016021013259887695--0.017261505126953125--0.018558979034423828--0.020012617111206055--0.021535396575927734--0.023245573043823242--0.025196552276611328--0.02775883674621582--0.03188514709472656
160,8377.3,19.746007742705200,34.45726706657880,41.41903659443800,90.87717091595690,2,solrj,rf2_s2__,21,0.0013971328735351562--0.0055010318756103516--0.007947921752929688--0.009824037551879883--0.011389493942260742--0.012941598892211914--0.014368772506713867--0.015781879425048828--0.01710367202758789--0.018445491790771484--0.01982259750366211--0.021137714385986328--0.022433996200561523--0.023799419403076172--0.025253772735595703--0.026769161224365234--0.028713226318359375--0.03090357780456543--0.03420686721801758--0.04010415077209473
192,9060.7,22.137024967940800,38.26219642285220,45.572768781603000,98.36204764769250,2,solrj,rf2_s2__,21,0.0014684200286865234--0.00535893440246582--0.008051156997680664--0.010336160659790039--0.012542009353637695--0.014482736587524414--0.01623249053955078--0.017763137817382812--0.019324064254760742--0.02084207534790039--0.022272109985351562--0.023651599884033203--0.025048017501831055--0.026594161987304688--0.028165340423583984--0.029987335205078125--0.03201699256896973--0.03462553024291992--0.038089752197265625--0.04468846321105957
224,8309.8,28.003511175645100,48.774790974844900,59.563764428670400,117.95014301232500,2,solrj,rf2_s2__,21,0.001392364501953125--0.007344245910644531--0.010843992233276367--0.013726234436035156--0.01620173454284668--0.01865673065185547--0.02080559730529785--0.022746801376342773--0.024582862854003906--0.026344776153564453--0.02795553207397461--0.029698610305786133--0.03148770332336426--0.03327631950378418--0.035272836685180664--0.03744387626647949--0.04015207290649414--0.04361748695373535--0.04850292205810547--0.05778908729553223
256,8595.0,30.989117400590800,54.125969724137700,65.49536165340930,108.90752862590200,2,solrj,rf2_s2__,21,0.001651763916015625--0.008944272994995117--0.012733697891235352--0.01581263542175293--0.018445491790771484--0.02089977264404297--0.02318882942199707--0.025325775146484375--0.02726435661315918--0.029143095016479492--0.030942201614379883--0.0327143669128418--0.03460383415222168--0.036653995513916016--0.0387723445892334--0.04129672050476074--0.04427337646484375--0.048148155212402344--0.05377531051635742--0.06416082382202148
288,8956.5,32.52139420344910,63.77435881516030,78.09537443621410,114.35710479473200,2,solrj,rf2_s2__,21,0.0018308162689208984--0.007972240447998047--0.011794805526733398--0.015006542205810547--0.01790142059326172--0.020543575286865234--0.02319622039794922--0.025588274002075195--0.027923107147216797--0.030227184295654297--0.03249979019165039--0.03467512130737305--0.037111520767211914--0.039700984954833984--0.042587995529174805--0.04597663879394531--0.049963951110839844--0.05530571937561035--0.06296062469482422--0.07670974731445312
320,9212.1,36.207837347658500,64.40033453591860,76.11225480618680,124.8175164927610,2,solrj,rf2_s2__,21,0.0015132427215576172--0.010004043579101562--0.014378547668457031--0.017975330352783203--0.021155595779418945--0.023863554000854492--0.026511669158935547--0.029069900512695312--0.03156304359436035--0.03378772735595703--0.03614640235900879--0.038529157638549805--0.04099416732788086--0.04351663589477539--0.04627251625061035--0.049338340759277344--0.05305290222167969--0.057875633239746094--0.06398487091064453--0.07445073127746582
